Sponsor Submitted Date,Proposal State,Principal Investigator,Last Name,First Name,Lead Department,Proposal Title,Prime Sponsor,Proposal Requested Total Amt,CO PI Name
10/15/2021,Pending Sponsor Review,Alex Valm,Valm,Alex,010 Biology,Toward a Mechanistic Understanding of Structure-Function Relationships in the Gut Microbiome,National Institutes of Health,1836780,
10/15/2021,Pending Sponsor Review,Angie Chung,Chung,Angie,010 Sociology,(Dissertation)Growing Old American: How Chinese Immigrants Age in the United States,American Sociological Association,16000,
10/15/2021,Pending Sponsor Review,Cecilia Levy,Levy,Cecilia,010 Physics,REU Site:  Intersecting Physics and Diversity at UAlbany,National Science Foundation,401581,
10/15/2021,Pending Sponsor Review,Kaalak Reddy,Reddy,Kaalak,010 The RNA Institute,Functional consequences of ITPase deficiency and the impact of inosine misincorporation into the transcriptome,National Institutes of Health,1933182,Gabriele Fuchs : John Berglund
10/15/2021,Pending Sponsor Review,Penghang Yin,Yin,Penghang,010 Mathematics & Statistics,Algorithms and Theory for Compressing Deep Neural Networks,National Science Foundation,207005,
10/18/2021,Awarded,Rabi Musah,Musah,Rabi,010 Chemistry,Development of a Machine Learning Prediction Model for the Detection of M?ni?re's Disease from Cerumen Chemical Profiles,National Institutes of Health,421608,
10/18/2021,Pending Sponsor Review,Cheng-Hsuan Lu,Lu,Cheng-Hsuan,010 Atmospheric Sciences Research Center,The Observation-based and process-oriented diagnostics for evaluating clouds and precipitation across scales,NOAA Climate Program Office,314635,Dustin Grogan
10/18/2021,Pending Sponsor Review,Fangqun Yu,Yu,Fangqun,010 Atmospheric Sciences Research Center,Toward improving model treatments of stratospheric aerosols: Observational constraints and implications for solar climate intervention,NOAA Climate Program Office,537833,Arshad Nair
10/18/2021,Pending Sponsor Review,Zai Liang,Liang,Zai,010 Sociology,A Big Data Approach to Studying Mobility and Contagion related to COVID-19,National Institutes of Health,155179,Tse-Chuan Yang
10/19/2021,Not Funded,Mathias Vuille,Vuille,Mathias,010 Atmospheric and Environmental Sciences,Collaborative Research:  Diagnosing differences in proxy and model-estimated climate responses to large volcanic eruptions,National Science Foundation,308000,Ernesto Tejedor Vargas
10/19/2021,Pending Sponsor Review,Annalisa Scimemi,Scimemi,Annalisa,010 Biology,Neuronal glutamate transporter modulation of dopamine release (Nurat Affinnih),National Science Foundation,138000,Nurat Affinnih
10/19/2021,Pending Sponsor Review,Cara Pager,Pager,Cara,010 Biology,RNA Shapes the Function of Flaviviral Genomes,National Institute of General Medical Sciences,1936033,
10/19/2021,Pending Sponsor Review,Changlong Zhong,Zhong,Changlong,010 Mathematics & Statistics,Generalized cohomology theories of flag varieties,National Science Foundation,149134,
10/19/2021,Pending Sponsor Review,Sujata Murty,Murty,Sujata,010 Atmospheric and Environmental Sciences,Collaborative Research: Spatio-temporal changes in Red Sea surface hydrology and controls on deep ocean circulation since the 1700s,National Science Foundation,342665,
10/20/2021,Awarded,Cheryl Andam,Andam,Cheryl,010 Biology,Darwin's naturalization conundrum predicts inter-species pathogen transmission potential,Research Corporation for Science Advancement,78000,
10/20/2021,Awarded,Jason D'Cruz,D'Cruz,Jason,010 Philosophy,Trustworthy-AI from a User Perspective,State University of New York,100000,
10/20/2021,Pending Sponsor Review,Tianlin Wang,Wang,Tianlin,010 Educational and Counseling Psychology,Language Input Impacts Theory of Mind Development across the Socioeconomic Spectrum,National Institutes of Health,156250,Erin Baker
10/22/2021,Awarded,Won Namgoong,Namgoong,Won,010 Electrical & Comp Engr,NSF I-Corps Hub: New York Region,National Science Foundation,250002,
10/25/2021,Awarded,John Welch,Welch,John,010 Chemistry,Tetrafluoro(trifluoromethyl)sulfanes Chemical Reactivity and Polar Hydrophobicity,National Science Foundation,472368.3,
10/25/2021,Not Funded,Jonathan Petruccelli,Petruccelli,Jonathan,010 Physics,A low-dose  clinically practical system for x-ray dark-field  scatter and phase mammography and tomosynthesis,Department of Defense (CDMRP),664203,Carolyn MacDonald
10/25/2021,Pending Sponsor Review,Jeremy Feldblyum,Feldblyum,Jeremy,010 Chemistry,Dilute Halogenated Cationic Additives for Stable and Safe Lithium Metal Batteries,LG Energy Solutions,27293,
10/25/2021,Pending Sponsor Review,John Berglund,Berglund,John,010 The RNA Institute,Identifying a panel of alternative splicing events as potential RNA biomarkers for multiple spinocerebellar ataxias,National Ataxia Foundation,50000,
10/26/2021,Awarded,Unal Tatar,Tatar,Unal,010 Emergency Management,A systematic Review and Compendium of Cyber Risk for Actuaries,Society of Actuaries,19978,Omer Keskin
10/27/2021,Pending Sponsor Review,Jonathan Petruccelli,Petruccelli,Jonathan,010 Physics,A low-dose  clinically practical system for x-ray dark-field and phase mammography and tomosynthesis,NYS Department of Health,341929,Carolyn MacDonald : Roxana Moslehi
10/28/2021,Pending Sponsor Review,Kathleen Strully,Strully,Kathleen,010 Sociology,Han Liu Early Health Conditions  Family Processes  and Educational Achievements,American Sociological Association,16000,
10/29/2021,Awarded,David Holtgrave,Holtgrave,David,010 Dean - School of Public Health,CARES Act Supplement: Modeling HIV  viral hepatitis  STI  and TB to improve public health - CAMP 2.0: The Coalition for Applied Modeling for Prevention,Centers for Disease Control and Prevention,2977713,Erika Martin
11/2/2021,Not Funded,Igor Lednev,Lednev,Igor,010 Chemistry,Fibril Polymorphism: Advanced Raman Spectroscopic Study,National Science Foundation,471040,
11/2/2021,Not Funded,Kyoung-Yeol Kim,Kim,Kyoung-Yeol,010 Envir & Sust Engr,Collaborative Research: CAS-Climate: A novel activated carbon flow cathode to electrochemically produce hydrogen from wastewater,National Science Foundation,295525,
11/2/2021,Pending Sponsor Review,Alexander Shekhtman,Shekhtman,Alexander,010 Chemistry,RAGE-DIAPH1-MFN2: Mechanisms and Treatments Targeting cardiac dysfunction,National Institutes of Health,238737,
11/2/2021,Pending Sponsor Review,Katherine Trent,Trent,Katherine,010 Sociology,An Alternative Way to Marriage: The Making and Consequence of Matchmaking in China (Shichao Du),American Sociological Association,16000,Shichao Du
11/2/2021,Pending Sponsor Review,Zawadi Rucks-Ahidiana,Rucks-Ahidiana,Zawadi,010 Sociology,RSF Pipeline: The Racialization of Gentrification in the News,Russell Sage Foundation,29732,
11/3/2021,Pending Sponsor Review,Tomoko Schaller,Schaller,Tomoko,Setup Business Group,Hope Not Handcuffs - Hudson Valley  a pre-arrest diversion program for persons who use drugs,Office of National Drug Control Policy,299801,
11/3/2021,Pending Sponsor Review Award Anticipated,Jildyz Urbaeva,Urbaeva,Jildyz,010 School of Social Welfare,Enhancing the Public Health Response to Domestic Violence in the Context of COVID-19,Arizona State University,20289,
11/4/2021,Pending Sponsor Review,Jeremy Feldblyum,Feldblyum,Jeremy,010 Chemistry,Chromatographic Pesticide Size-Sieving with Commodity Metal-Organic Frameworks,American Chemical Society,250000,
11/4/2021,Pending Sponsor Review,Samantha Penta,Penta,Samantha,010 Emergency Management,Protective Action Adoption in Context: Individual  Household  and Community Level Influences on Decision-Making during COVID-19,Russell Sage Foundation,28454,Amber Silver
11/5/2021,Awarded,David Holtgrave,Holtgrave,David,010 Biomedical Science,GRA 6945 (Sun) Intraflagellar Transport Process in Primary Clium Maintenance,National Institutes of Health,12294,
11/5/2021,Awarded,Mary Gallant,Gallant,Mary,Setup Business Group,Evaluation Plan for Good Neighbor Program,NYS Department of Health,38219,
11/5/2021,Pending Sponsor Review,Aubrey Hillman,Hillman,Aubrey,010 Atmospheric and Environmental Sciences,DISES: Socio-environmental dynamics of emergent inequality,National Science Foundation,384375,
11/9/2021,Awarded,Amirreza Masoumzadeh-Tork,Masoumzadeh-Tork,Amirreza,010 Computer Science,REU Supplement to award # 2047623 CAREER: Black-Box Learning of Web Application Authorization Policies,National Science Foundation,15990,
11/9/2021,Pending Sponsor Review,Catherine Lawson,Lawson,Catherine,010 Geography & Planning,HMGP DR-4567: MitigateNY Phase 2c - LHMP  Pilot Completion Objectives (LOI 36),Federal Emergency Management Agency,180000,
11/9/2021,Pending Sponsor Review,Catherine Lawson,Lawson,Catherine,010 Geography & Planning,HMGP DR-4567: MitigateNY Phase 3 - Integration Objectives (LOI 37.5),Federal Emergency Management Agency,450000,
11/9/2021,Pending Sponsor Review,Damian Zuloaga,Zuloaga,Damian,010 Psychology,Interactions of sex hormone receptors and chronic stress in Alzheimer's Disease,National Institute on Aging,430845,
11/9/2021,Pending Sponsor Review,Thomas Begley,Begley,Thomas,010 Biology,Epitranscriptomic control of ROS,National Institutes of Health,117250,
11/10/2021,Pending Sponsor Review,Annalisa Scimemi,Scimemi,Annalisa,010 Biology,Development of Transplantable Neural Circuitry for Spinal Cord Injury (IDEA),NYS Department of Health,12494,
11/10/2021,Pending Sponsor Review,Annalisa Scimemi,Scimemi,Annalisa,010 Biology,TRACK: Transplantable Reporter of Activity and Connectivity Kinetics in the Acutely injured Spinal Cord in Mice and Rats (PART),NYS Department of Health,18741,
11/12/2021,Awarded,Mary McCarthy,McCarthy,Mary,010 School of Social Welfare,Workforce Training Program 2022,Albany County Department for Children Youth and Families,33111,
11/15/2021,Awarded,Ryan Torn,Torn,Ryan,010 Atmospheric and Environmental Sciences,Expansion of Ensemble-based Sensitivity to TC Hazard Forecasts,National Oceanic and Atmospheric Administration,314702,
11/15/2021,Not Funded,Lifeng Zhou,Zhou,Lifeng,010 The RNA Institute,Mechanically Tunable Nucleic Acid-based Nanostructures for Drug Delivery,National Institutes of Health,1011960,
11/15/2021,Pending Sponsor Review,Robert Fovell,Fovell,Robert,010 Atmospheric and Environmental Sciences,Implementation of Improved and Enhanced UFS Gust and Wind Forecasting Products,National Oceanic and Atmospheric Administration,240045,
11/16/2021,Pending Sponsor Review,Bijan Dey,Dey,Bijan,010 The RNA Institute,Impact of SARS-CoV-2 on Skeletal Muscles and Myogenesis,National Institutes of Health,431943,
11/16/2021,Pending Sponsor Review,Paul Roundy,Roundy,Paul,010 Atmospheric and Environmental Sciences,NASA level 2: Fourier Regression Modeling of the Seasonal and diurnal cycle of Temperature and Temperature Variance in the Atmosphere of Mars,NASA Aeronautics Research Mission Directorate,220100,
11/17/2021,Awarded,Paul Roundy,Roundy,Paul,010 Atmospheric and Environmental Sciences,Ensemble Post Processing to Remove Projections onto Temporal Spatial Error Eigenvectors to Optimize Seasonal to Subseasonal Forecasts,National Oceanic and Atmospheric Administration,220470,
11/18/2021,Awarded,Lance Bosart,Bosart,Lance,010 Atmospheric and Environmental Sciences,The Governing Dynamics and Predictability of Recurving Eastern North Pacific Tropical Cyclones,National Science Foundation,533186,Kristen Corbosiero
11/19/2021,Pending Sponsor Review,Kai Zhang,Zhang,Kai,010 Environmental Health Sciences,Epigenomic landscape of individual- and neighborhood-level social disadvantages and cardiovascular health disparity,National Institutes of Health,616010,
11/22/2021,Not Funded,Daphney-Stavroula Zois,Zois,Daphney-Stavroula,010 Electrical & Comp Engr,Collaborative Research: SCH: Towards Equitable Telebehavioral Health Interventions: Quantifying Multimodal Expressions of Racial and Cultural Insensitivity in Psychotherapy,National Science Foundation,692793,James Boswell
11/22/2021,Pending Sponsor Review,Bryan Early,Early,Bryan,010 Center for Policy Research,Red Teaming with Government and Industry to Address Biological Proliferation Threats in Southeast Asia,US Department of State,990044,Gary Ackerman : Brandon Behlendorf
11/22/2021,Pending Sponsor Review,Johana Londono,Londono,Johana,010 Latin American/Caribbean & US Latino Studies,"Doctoral Dissertation Research: ""Drop Out"" and Undocumented: Racialized and Criminalized Latinx Youth Negotiating Spaces of Belonging",National Science Foundation,19780,Eric Macias
11/22/2021,Pending Sponsor Review,Sam Jackson,Jackson,Sam,010 Emergency Management,#QSentUs: Understanding the Spread of Conspiracy Theories Online,Carnegie Corporation of New York,200000,
11/29/2021,Awarded,Penghang Yin,Yin,Penghang,010 Mathematics & Statistics,Algorithms and Theory for Compressing Deep Neural Networks,National Science Foundation,276611,
11/29/2021,Pending Sponsor Review,John Welch,Welch,John,010 Chemistry,Optimization of Tetrafluorosulfanyl-containing Polymers,National Science Foundation,107113,
11/30/2021,Awarded,Victor Asal,Asal,Victor,010 Center for Policy Research,TECHNOLOGY  REPRESSION  AND LIBERATION: HOW DO INTERNET AND COMMUNICATION TECHNOLOGIES AFFECT POLITICAL VIOLENCE AND COLLECTIVE ACTION IN AUTHORITARIAN COUNTRIES?,Princeton University,11889,Reyhan Topal
11/30/2021,Pending Sponsor Review,Cara Pager,Pager,Cara,010 Biology,Interplay between Zika Virus Infection  the Unfolded Protein Response and Transcriptional Control,National Institute of Allergy & Infectious Disease,425486,
11/30/2021,Pending Sponsor Review,Igor Lednev,Lednev,Igor,010 Chemistry,Saliva screening test for Alzheimer's Disease,Early Alzheimer's Diagnostic Limited Liability Company,134999,
12/1/2021,Pending Sponsor Review,John Berglund,Berglund,John,010 The RNA Institute,An enhanced Aquatic Research Facility to support biomedical research,National Institutes of Health,57994,
12/1/2021,Pending Sponsor Review,Yanna Liang,Liang,Yanna,010 Envir & Sust Engr,In Vitro and In Vivo Toxicity Modeling and Prediction of Environmental Per- and Polyfluoroalkyl Substances,Environmental Protection Agency,234985,
12/3/2021,Not Funded,Shao Lin,Lin,Shao,010 Environmental Health Sciences,Evaluating the intersection of total environment and health disparities using big data and community engagement to address environmental justice,Environmental Protection Agency,1349986,Xiaobo Romeiko : Fangqun Yu : Xiaojun Yuan : Samantha Friedman : DeeDee Bennett
12/6/2021,Awarded,June Mastan,Mastan,June,010 Professional Development Program,Audit and Quality Improvement Training Initiatives (AQI01),Department of Health and Human Services,274180,
12/7/2021,Awarded,Johana Londono,Londono,Johana,010 Latin American/Caribbean & US Latino Studies,Latin American  Caribbean and Latina/o Knowledge Creation Support,National Endowment for the Humanities,99763,Alejandra Bronfman : Gabriel Hetland : Pedro Caban
12/7/2021,Awarded,John Berglund,Berglund,John,010 The RNA Institute,Design  synthesis and efficacy of new small molecule therapeutics to impede myotonic dystrophy,National Institutes of Health,3553330,Sweta Vangaveti : John Cleary : Kaalak Reddy
12/7/2021,Pending Sponsor Review,June Mastan,Mastan,June,010 Professional Development Program,Early Intervention Statewide Web-Based Training,NYS Department of Health,2814329,
12/8/2021,Awarded,Daniele Cherniak,Cherniak,Daniele,010 Physics,Decoding thermal and magmatic history of mafic and ultramafic rocks through systematic studies of cation diffusion in pyroxene,National Science Foundation,150455,
12/8/2021,Awarded,John Berglund,Berglund,John,010 The RNA Institute,2022 MDF Fellowship-Jesus Frias,Myotonic Dystrophy Foundation,55000,
12/8/2021,Pending Sponsor Review,Alexander Khmaladze,Khmaladze,Alexander,010 Physics,MCA - Real time analysis of cellular apoptosis using innovative bio-imaging technologies,National Science Foundation,55057,
12/8/2021,Pending Sponsor Review,Andrei Lapenas,Lapenas,Andrei,010 Geography & Planning,Looking into the Future of Northern Forests by Assessing the Sensitivity of Mature White Spruce to Warming,Northeastern States Research Cooperative,76817,
12/8/2021,Pending Sponsor Review,Changlong Zhong,Zhong,Changlong,010 Mathematics & Statistics,Modern Schubert Calculus and Geometric Representation Theory,Simons Foundation,42000,
12/8/2021,Pending Sponsor Review,Christine Wagner,Wagner,Christine,010 Psychology,Adolescent sensitivity to anabolic-androgenic steroids,National Institutes of Health,89966,
12/8/2021,Pending Sponsor Review,Igor Lednev,Lednev,Igor,010 Chemistry,Raman and tactile imaging fusion for cancer mapping in urological surgery,National Institutes of Health,772500,
12/8/2021,Pending Sponsor Review,Mark Kuniholm,Kuniholm,Mark,010 Epidemiology & Biostatistics,Physical function  performance and activity and non-communicable diseases in the Ukrainian HIV population,National Institutes of Health,363842,
12/8/2021,Pending Sponsor Review,Thomas Begley,Begley,Thomas,010 Biology,Technologies for analysis of the cancer epitranscriptome and codon-biased translation,National Institutes of Health,682124,
12/8/2021,Pending Sponsor Review,Thomas Begley,Begley,Thomas,010 Biology,Translational regulation in exposure biology - Xenobiotic-induced reprograming of tRNA modifications and selective translation of codon-biased response genes in rat and human models,National Institutes of Health,2672989,
12/8/2021,Pending Sponsor Review,Thomas Begley,Begley,Thomas,010 The RNA Institute,NSF S-STEM Scholarship: Building Science Capital,National Science Foundation,649140,Shanise Kent : John Berglund
12/9/2021,Pending Sponsor Review,David Dai,Dai,David,010 Educational and Counseling Psychology,Editor: Gifted Child Quarterly,National Association for Gifted Children,58760,
12/13/2021,Not Funded,Dola Saha,Saha,Dola,010 Electrical & Comp Engr,Radio Frequency based Search using Single UAV,Gordon and Betty Moore Foundation,675000,
12/13/2021,Pending Sponsor Review,Daphney-Stavroula Zois,Zois,Daphney-Stavroula,010 Electrical & Comp Engr,Moore Inventor Fellows Fellowship 2022,Gordon and Betty Moore Foundation,675000,
12/13/2021,Pending Sponsor Review,John Welch,Welch,John,010 Chemistry,New High-Performance Photopolymers for Exoatmospheric Applications,Universities Space Research Association,344442,
12/14/2021,Pending Sponsor Review,David Dai,Dai,David,010 Educational and Counseling Psychology,Enhancing Problem Solving For Dealing With Novel  Unanticipated  Difficult Situations And Problems: Subcontract with RPI,US Army Research Institute,299987,
12/14/2021,Pending Sponsor Review,Susan Dietzel,Dietzel,Susan,010 Center for Human Services Research,Understanding Needs and Identifying Gaps to Enhance Services for Victims of Crime in New York State,US Department of Justice,435861,
12/17/2021,Pending Sponsor Review,JoEllen Welsh,Welsh,JoEllen,010 Environmental Health Sciences,Precision Vitamin D Nutrition - resubmission,National Institutes of Health,429000,
12/21/2021,Awarded,Abram Magner,Magner,Abram,010 Computer Science, Collaborative Research: CIF: Medium: Foundations of Robust Deep Learning via Data Geometry and Dyadic Structure,National Science Foundation,397238,
12/21/2021,Not Funded,Charalampos Chelmis,Chelmis,Charalampos,010 Computer Science,HCC: Medium: Community-centered Mixed Methods Approach Towards Expanding Job Search Opportunities for Refugees,National Science Foundation,873446,Wonhyung Lee : Daphney-Stavroula Zois
12/21/2021,Not Funded,Marilyn Masson,Masson,Marilyn,010 Anthropology,Maya Life in Early Colonial Yucatan,National Science Foundation,295611,
12/23/2021,Not Funded,Sanjay Goel,Goel,Sanjay,010 FACETS,Cyber Resilience and Security Consultancies (CRSC),Economic Development Administration,503942,
12/23/2021,Pending Sponsor Review,Jerald Brotzge,Brotzge,Jerald,010 Atmospheric Sciences Research Center,Mesonet Weather Data Subscription,New York Independent System Operator,62500,
12/23/2021,Pending Sponsor Review,Lucy Sorensen,Sorensen,Lucy,010 Center for Policy Research,A Lifecourse Approach to Modeling the School-to Prison Pipeline with Event History Models: What are the Key Events,National Science Foundation,141760,
1/3/2022,Pending Sponsor Review,Mary Ellen Stitt,Stitt,Mary Ellen,010 Hindelang Criminal Justice Research Center,Administering Mental Healthcare in the Criminal Court System,Oak Ridge Associated Universities,10000,
1/4/2022,Pending Sponsor Review,Kenneth Levine,Levine,Kenneth,010 Communication,An Institute for biological communication (BioComm) at the Michigan State University,National Science Foundation,226663,
1/5/2022,Pending Sponsor Review,Rixiang Huang,Huang,Rixiang,010 Envir & Sust Engr,Exploring the roles of cover cropping on dissolved phosphorus runoff through integrated laboratory and field studies,Cary Institute of Ecosystem Studies,15000,
1/6/2022,Not Funded,Mohammed Agamy,Agamy,Mohammed,010 Electrical & Comp Engr,Advanced Topologies and Control for High Power Resonant Inverters with Highly Dynamic Loads,National Science Foundation,430257,
1/7/2022,Pending Sponsor Review,Luis Luna-Reyes,Luna-Reyes,Luis,010 Center for Policy Research,DISES: Understanding the dynamics of conservation agriculture in local food systems and its impacts on the environment  local markets and community resilience,National Science Foundation,1066575,Alexander Buyantuev : Eliot Rich : April Roggio
1/12/2022,Not Funded,Carmen Serrano,Serrano,Carmen,010 Language/Literature & Culture,Student Stories: Empathy and Democracy (Seasons 3-5),National Endowment for the Humanities,667312,Johana Londono
1/17/2022,Not Funded,Fan Yang,Yang,Fan,010 Communication,Reimagining AI Content Recommendations,Pennsylvania State University,6650,
1/17/2022,Pending Sponsor Review,Md Aynul Bari,Bari,Md Aynul,010 Envir & Sust Engr,Refined source apportionment of ambient VOCs and VCPs in NYC metro area,NYS Energy Research and Development Authority,393184,Cheng-Hsuan Lu
1/18/2022,Awarded,Maksim Royzen,Royzen,Maksim,010 Chemistry,TCO-cytokine conjugates: preparation  characterization and evaluation with tetrazine-biopolymer.,Shasqi Incorporated,92914,
1/18/2022,Not Funded,Alan Chen,Chen,Alan,010 Chemistry,MRI: Acquisition of High-Performance Computing Instrument to support Simulation & AI enabled Research and Teaching,National Science Foundation,417057,Annalisa Scimemi : Yiming Ying : Brian Rose : Dola Saha
1/18/2022,Not Funded,Alan Chen,Chen,Alan,010 Chemistry,NYSTAR cost-share funds request to support NSF MRI for HPC Instrument,Empire State Development Corp,178739,
1/18/2022,Pending Sponsor Review,Dawn Bleyenburg,Bleyenburg,Dawn,010 SPH Continuing Education,Regional Public Health Training Centers (PHTC) Program,Health Resources and Services Admin,160000,
1/18/2022,Pending Sponsor Review,Melinda Larsen,Larsen,Melinda,010 Biology,Development of a SenNet sxRNA Technology for Tracking and Targeting Senescence Cells in Murine Living Tissue,National Institutes of Health,786487,
1/18/2022,Pending Sponsor Review,Thomas Begley,Begley,Thomas,010 Biology,The EpiCode Atlas of RNA Modifications Driving Translational Dysfunction in Cancer,National Institutes of Health,782500,
1/18/2022,Pending Sponsor Review,Xiaobo Romeiko,Romeiko,Xiaobo,010 Environmental Health Sciences,Harnessing the Natural Power of Microbes Thriving on CO2 for Mining Rare Earth Elements from Electronic Waste,National Science Foundation,72831,
1/19/2022,Pending Sponsor Review,Changlong Zhong,Zhong,Changlong,010 Mathematics & Statistics,Equivariant cohomology and modern Schubert calculus',Simons Foundation,42000,
1/19/2022,Pending Sponsor Review,Yanna Liang,Liang,Yanna,010 Envir & Sust Engr,MRI: Acquisition of a Trapped Ion Mobility Spectrometer Quadrupole Time-of-Flight (TIMS-QTOF) with MALDI for Multidisciplinary Research and Education,National Science Foundation,1099000,Jia Sheng : Alex Valm
1/20/2022,Pending Sponsor Review,John Berglund,Berglund,John,010 The RNA Institute,NSF RaMP: RNA-based biological research for individual development and group enrichment (RNA Bridge),National Science Foundation,3057877,Shanise Kent
1/21/2022,Awarded,Chris Papas,Papas,Chris,010 Center for Human Services Research,On-Line Michigan License Contract Three,Michigan Public Health Institute,28750,Margaret Gullick
1/24/2022,Pending Sponsor Review,Hyun-kyoung Kwon,Kwon,Hyun-kyoung,010 Mathematics & Statistics,Similarity of Operators in the Multivariate Setting,Simons Foundation,42000,
1/24/2022,Pending Sponsor Review,Loretta Pyles,Pyles,Loretta,010 School of Social Welfare,Communities Advancing Science Literacy,National Science Foundation,117283.35,
1/24/2022,Pending Sponsor Review,Pinka Chatterji,Chatterji,Pinka,010 Economics,Job Quality as a Determinant of Maternal Health and Health Disparities,Emory University,212843,
1/25/2022,Pending Sponsor Review,Carol Kim,Kim,Carol,010 Provost & VP Academic Affairs,Louis Stokes New STEM Pathways and Research Alliance: State University of New York,National Science Foundation,2999815,Shanise Kent
1/25/2022,Pending Sponsor Review,Chinwe Ekenna,Ekenna,Chinwe,010 Computer Science, Building Malaria Modeling Capacity in Sub-Saharan Africa,Nnamdi Azikiwe University,597786,
1/25/2022,Pending Sponsor Review,Felix Ye,Ye,Felix,010 Mathematics & Statistics,Data-driven Model Reduction in Stochastic Dynamical Systems,Simons Foundation,42000,
1/26/2022,Pending Sponsor Review,Baris Yoruk,Yoruk,Baris,010 Economics,The effect of age-based health insurance coverage policies on psychological well-being and mental health,National Institutes of Health,40825,
1/26/2022,Pending Sponsor Review,Damian Zuloaga,Zuloaga,Damian,010 Psychology,Corticotropin releasing factor receptor 1 regulation of postpartum stress functions,National Science Foundation,1035019,Andrew Poulos
1/26/2022,Pending Sponsor Review,Igor Lednev,Lednev,Igor,010 Chemistry,STTR:  Screening for Alzheimer's Disease Based on Raman Spectroscopy of blood - Resubmission - 1,National Institutes of Health,112812,
1/26/2022,Pending Sponsor Review,Kathleen Strully,Strully,Kathleen,010 Sociology,Exclusionary and inclusionary residential zoning laws and health disparities in populations 65+,National Institutes of Health,37957,Tse-Chuan Yang
1/26/2022,Pending Sponsor Review,Melinda Larsen,Larsen,Melinda,010 Biology,Cell-matrix and intracellular signaling interactions in directing epithelial differentiation,Albany Medical College,47851,
1/26/2022,Pending Sponsor Review Award Anticipated,Michael Lesnick,Lesnick,Michael,010 Mathematics & Statistics,Multiparameter Persistence: Theory  Applications  and Algorithms,Simons Foundation,42000,
1/27/2022,Not Funded,Aubrey Hillman,Hillman,Aubrey,010 Atmospheric and Environmental Sciences,Collaborative Research: The Environmental Context Surrounding Moundville  AL Construction - Resubmission - 1,National Science Foundation,160851,
1/27/2022,Pending Sponsor Review,Alex Valm,Valm,Alex,010 Biology,Novel Signal Transduction Mechanism in Streptococcus gordonii colonization,National Institutes of Health,291011,
1/27/2022,Pending Sponsor Review,Annalisa Scimemi,Scimemi,Annalisa,010 Biology,Presynaptic modulation of synaptic inhibition onto hippocampal pyramidal neurons,National Institutes of Health,3659624,
1/28/2022,Pending Sponsor Review,Gang Chen,Chen,Gang,010 Center for Policy Research,Do public pensions help to retain government employees in the Great Resignation?,Sandell Grant Program,44506,Yimeng Yin
1/31/2022,Awarded,Cara Pager,Pager,Cara,010 Biology,(Pheonah Badu Fellowship) Transcriptional regulation of the antiviral response during Zika virus infection in cardiomyocytes.,American Heart Association Incorporated,64072,
1/31/2022,Awarded,Dawn Bleyenburg,Bleyenburg,Dawn,010 SPH Continuing Education,May 2022 Public Health Live,Health Research Inc,49171,
1/31/2022,Not Funded,Andrea Lang,Lang,Andrea,010 Atmospheric and Environmental Sciences,Using unique 3D wind observations to identify and evaluate deficiencies in stratosphere-troposphere coupling in the UFS on S2S timescales,National Oceanic and Atmospheric Administration,75000,
1/31/2022,Not Funded,Ryan Torn,Torn,Ryan,010 Atmospheric and Environmental Sciences,Evaluating GFS and HAFS Genesis Forecasts Using Genesis,National Oceanic and Atmospheric Administration,316702,
1/31/2022,Pending Sponsor Review,Bryan Early,Early,Bryan,010 Center for Policy Research,Countering Military Civil Fusion,US Department of State,750854,
1/31/2022,Pending Sponsor Review,Bryan Early,Early,Bryan,010 Center for Policy Research,Countering North Korean WMD Proliferation,US Department of State,556878,
2/1/2022,Awarded,Li Niu,Niu,Li,010 Chemistry,Animal testing of RNA aptamers as ALS drug candidate,National Institutes of Health,2182480,
2/1/2022,Pending Sponsor Review,April Roggio,Roggio,April,010 Center for Policy Research,Governing local food systems: understanding history  actor agency and the potential for transformation,National Science Foundation,735666,Alexander Buyantuev : Eliot Rich : Luis Luna-Reyes
2/1/2022,Pending Sponsor Review,Bryan Early,Early,Bryan,010 Center for Policy Research,Countering Iran's Ballistic Missile Capability,US Department of State,249005,Brandon Behlendorf
2/1/2022,Pending Sponsor Review,John Berglund,Berglund,John,010 The RNA Institute,MRI: Acquisition of computational equipment to accelerate STEM skills  education  research  and training in RNA (ASSERT RNA),National Science Foundation,161933,Sweta Vangaveti : Cheryl Andam
2/1/2022,Pending Sponsor Review,June Mastan,Mastan,June,010 Professional Development Program,Evaluation for The New York Municipal Clerk Institute,University at Albany,2998,
2/2/2022,Not Funded,Mayra Santiago,Santiago,Mayra,010 Office of Access and Academic Support,Trio: Upward Bound,US Department of Education,1437685,
2/2/2022,Pending Sponsor Review,Alexander Khmaladze,Khmaladze,Alexander,010 Physics,MCA-Analysis of cellular apoptosis in real time using innovative bio-imaging technologies,National Science Foundation,55057,
2/2/2022,Pending Sponsor Review,Brandon Behlendorf,Behlendorf,Brandon,010 Center for Advanced Red Teaming,SFOP8425 - Decisions Under Duress: Attribution and Response to WMD Assassinations during State Disinformation Campaigns,US Department of State,220196,Gary Ackerman : Eric Stern
2/2/2022,Pending Sponsor Review,Damian Zuloaga,Zuloaga,Damian,010 Psychology,Corticotropin releasing factor receptor 1 regulation of postpartum stress functions,National Institutes of Health,1905386,Andrew Poulos
